System,Complexity,NDCG@10,Recall@10,Query
qalf,Complex,0.6309297535714575,1.0,From which page does the report start listing the ...
vector_only,Complex,0.0,0.0,Has Canada's Emergencies Act been invoked more tha...
fixed_rrf,Complex,0.0,0.0,Has Canada's Emergencies Act been invoked more tha...
adaptive_fixed,Complex,0.0,0.0,Has Canada's Emergencies Act been invoked more tha...
qalf,Complex,0.0,0.0,Has Canada's Emergencies Act been invoked more tha...
vector_only,Complex,0.6309297535714575,1.0,How long can a witness be imprisoned for making fa...
fixed_rrf,Complex,0.6309297535714575,1.0,How long can a witness be imprisoned for making fa...
adaptive_fixed,Complex,0.6309297535714575,1.0,How long can a witness be imprisoned for making fa...
qalf,Complex,0.6309297535714575,1.0,How long can a witness be imprisoned for making fa...
vector_only,Complex,0.6309297535714575,1.0,Can members of the Indian Parliament refer to matt...
fixed_rrf,Complex,1.0,1.0,Can members of the Indian Parliament refer to matt...
adaptive_fixed,Complex,1.0,1.0,Can members of the Indian Parliament refer to matt...
qalf,Complex,1.0,1.0,Can members of the Indian Parliament refer to matt...
vector_only,Complex,0.38685280723454163,1.0,Do general supervisory committees in Switzerland h...
fixed_rrf,Complex,0.5,1.0,Do general supervisory committees in Switzerland h...
adaptive_fixed,Complex,0.5,1.0,Do general supervisory committees in Switzerland h...
qalf,Complex,0.3562071871080222,1.0,Do general supervisory committees in Switzerland h...
vector_only,Simple,0.5,1.0,From which page does the report detail the informa...
fixed_rrf,Simple,0.3010299956639812,1.0,From which page does the report detail the informa...
adaptive_fixed,Simple,0.3010299956639812,1.0,From which page does the report detail the informa...
qalf,Simple,0.3333333333333333,1.0,From which page does the report detail the informa...
vector_only,Simple,0.0,0.0,How many footnotes are there in the section about ...
fixed_rrf,Simple,0.0,0.0,How many footnotes are there in the section about ...
adaptive_fixed,Simple,0.0,0.0,How many footnotes are there in the section about ...
qalf,Simple,0.0,0.0,How many footnotes are there in the section about ...
vector_only,Simple,0.0,0.0,Does German law specifically address expenses for ...
fixed_rrf,Simple,0.0,0.0,Does German law specifically address expenses for ...
adaptive_fixed,Simple,0.0,0.0,Does German law specifically address expenses for ...
qalf,Simple,0.0,0.0,Does German law specifically address expenses for ...
vector_only,Complex,1.0,1.0,Is it mandatory for individuals to register their ...
fixed_rrf,Complex,1.0,1.0,Is it mandatory for individuals to register their ...
adaptive_fixed,Complex,1.0,1.0,Is it mandatory for individuals to register their ...
qalf,Complex,1.0,1.0,Is it mandatory for individuals to register their ...
vector_only,Complex,0.5,1.0,What is the aim of FIRS according to the Policy St...
fixed_rrf,Complex,1.0,1.0,What is the aim of FIRS according to the Policy St...
adaptive_fixed,Complex,1.0,1.0,What is the aim of FIRS according to the Policy St...
qalf,Complex,1.0,1.0,What is the aim of FIRS according to the Policy St...
vector_only,Simple,0.0,0.0,What is the title of the document?...
fixed_rrf,Simple,0.0,0.0,What is the title of the document?...
adaptive_fixed,Simple,0.0,0.0,What is the title of the document?...
qalf,Simple,0.0,0.0,What is the title of the document?...
vector_only,Simple,0.0,0.0,How many sections does the report have (excluding ...
fixed_rrf,Simple,0.0,0.0,How many sections does the report have (excluding ...
adaptive_fixed,Simple,0.0,0.0,How many sections does the report have (excluding ...
qalf,Simple,0.0,0.0,How many sections does the report have (excluding ...
vector_only,Simple,0.0,0.0,What is the revision data of the document?...
fixed_rrf,Simple,0.0,0.0,What is the revision data of the document?...
adaptive_fixed,Simple,0.0,0.0,What is the revision data of the document?...
qalf,Simple,0.0,0.0,What is the revision data of the document?...
vector_only,Simple,1.0,1.0,Does SenseBERT employ a whole-word-masking strateg...
fixed_rrf,Simple,1.0,1.0,Does SenseBERT employ a whole-word-masking strateg...
adaptive_fixed,Simple,1.0,1.0,Does SenseBERT employ a whole-word-masking strateg...
qalf,Simple,1.0,1.0,Does SenseBERT employ a whole-word-masking strateg...
vector_only,Complex,1.0,1.0,How much improvement in performance is observed wh...
fixed_rrf,Complex,1.0,1.0,How much improvement in performance is observed wh...
adaptive_fixed,Complex,1.0,1.0,How much improvement in performance is observed wh...
qalf,Complex,0.0,0.0,How much improvement in performance is observed wh...
vector_only,Complex,0.0,0.0,How much does SenseBERT_BASE improve upon BERT_BAS...
fixed_rrf,Complex,1.0,1.0,How much does SenseBERT_BASE improve upon BERT_BAS...
adaptive_fixed,Complex,1.0,1.0,How much does SenseBERT_BASE improve upon BERT_BAS...
qalf,Complex,0.6309297535714575,1.0,How much does SenseBERT_BASE improve upon BERT_BAS...
vector_only,Complex,1.0,1.0,"According to Figure 3(b), how does SenseBERT abstr..."
fixed_rrf,Complex,1.0,1.0,"According to Figure 3(b), how does SenseBERT abstr..."
adaptive_fixed,Complex,1.0,1.0,"According to Figure 3(b), how does SenseBERT abstr..."
qalf,Complex,1.0,1.0,"According to Figure 3(b), how does SenseBERT abstr..."
vector_only,Complex,1.0,1.0,What is the primary difference between the BERT an...
fixed_rrf,Complex,1.0,1.0,What is the primary difference between the BERT an...
adaptive_fixed,Complex,1.0,1.0,What is the primary difference between the BERT an...
qalf,Complex,1.0,1.0,What is the primary difference between the BERT an...
vector_only,Complex,0.0,0.0,"In Figure 2(a), what is the pattern observed among..."
fixed_rrf,Complex,0.3010299956639812,1.0,"In Figure 2(a), what is the pattern observed among..."
adaptive_fixed,Complex,0.3010299956639812,1.0,"In Figure 2(a), what is the pattern observed among..."
qalf,Complex,0.3333333333333333,1.0,"In Figure 2(a), what is the pattern observed among..."
vector_only,Complex,1.0,1.0,What is the model performance on SemEval-SS Frozen...
fixed_rrf,Complex,1.0,1.0,What is the model performance on SemEval-SS Frozen...
adaptive_fixed,Complex,1.0,1.0,What is the model performance on SemEval-SS Frozen...
qalf,Complex,1.0,1.0,What is the model performance on SemEval-SS Frozen...
vector_only,Simple,0.0,0.0,What is the main content of section 3.6?...
fixed_rrf,Simple,0.0,0.0,What is the main content of section 3.6?...
adaptive_fixed,Simple,0.0,0.0,What is the main content of section 3.6?...
qalf,Simple,0.0,0.0,What is the main content of section 3.6?...
vector_only,Complex,0.6309297535714575,1.0,What percentage of the Swedish population aged 17 ...
fixed_rrf,Complex,1.0,1.0,What percentage of the Swedish population aged 17 ...
adaptive_fixed,Complex,1.0,1.0,What percentage of the Swedish population aged 17 ...
qalf,Complex,1.0,1.0,What percentage of the Swedish population aged 17 ...
vector_only,Complex,1.0,1.0,How does the usage of e-cigarettes among men compa...
fixed_rrf,Complex,1.0,1.0,How does the usage of e-cigarettes among men compa...
adaptive_fixed,Complex,1.0,1.0,How does the usage of e-cigarettes among men compa...
qalf,Complex,0.6309297535714575,1.0,How does the usage of e-cigarettes among men compa...
vector_only,Simple,0.0,0.0,How many words are there in the document?...
fixed_rrf,Simple,0.0,0.0,How many words are there in the document?...
adaptive_fixed,Simple,0.0,0.0,How many words are there in the document?...
qalf,Simple,0.0,0.0,How many words are there in the document?...
vector_only,Simple,0.0,0.0,On which page does the report present a timeline o...
fixed_rrf,Simple,0.38685280723454163,1.0,On which page does the report present a timeline o...
adaptive_fixed,Simple,0.38685280723454163,1.0,On which page does the report present a timeline o...
qalf,Simple,0.0,0.0,On which page does the report present a timeline o...
vector_only,Complex,0.0,0.0,On which page does the report provide a table that...
fixed_rrf,Complex,0.0,0.0,On which page does the report provide a table that...
adaptive_fixed,Complex,0.0,0.0,On which page does the report provide a table that...
qalf,Complex,0.0,0.0,On which page does the report provide a table that...
vector_only,Complex,1.0,1.0,How many internet pages or websites were deleted o...
fixed_rrf,Complex,1.0,1.0,How many internet pages or websites were deleted o...
adaptive_fixed,Complex,1.0,1.0,How many internet pages or websites were deleted o...
qalf,Complex,1.0,1.0,How many internet pages or websites were deleted o...
vector_only,Complex,0.5,1.0,What specific article of the Information Law does ...
fixed_rrf,Complex,1.0,1.0,What specific article of the Information Law does ...
adaptive_fixed,Complex,1.0,1.0,What specific article of the Information Law does ...
qalf,Complex,1.0,1.0,What specific article of the Information Law does ...
vector_only,Complex,0.0,0.0,How many regions are listed on the document's cove...
fixed_rrf,Complex,0.0,0.0,How many regions are listed on the document's cove...
adaptive_fixed,Complex,0.0,0.0,How many regions are listed on the document's cove...
qalf,Complex,0.0,0.0,How many regions are listed on the document's cove...
vector_only,Simple,0.0,0.0,When was the report released?...
fixed_rrf,Simple,0.0,0.0,When was the report released?...
adaptive_fixed,Simple,0.0,0.0,When was the report released?...
qalf,Simple,0.0,0.0,When was the report released?...
vector_only,Simple,0.0,0.0,What does the section about China discuss around?...
fixed_rrf,Simple,0.0,0.0,What does the section about China discuss around?...
adaptive_fixed,Simple,0.0,0.0,What does the section about China discuss around?...
qalf,Simple,0.0,0.0,What does the section about China discuss around?...
vector_only,Simple,0.0,0.0,What is the title of the document?...
fixed_rrf,Simple,0.0,0.0,What is the title of the document?...
adaptive_fixed,Simple,0.0,0.0,What is the title of the document?...
qalf,Simple,0.0,0.0,What is the title of the document?...
vector_only,Simple,0.0,0.0,How many pages does the document have in total?...
fixed_rrf,Simple,0.0,0.0,How many pages does the document have in total?...
adaptive_fixed,Simple,0.0,0.0,How many pages does the document have in total?...
qalf,Simple,0.0,0.0,How many pages does the document have in total?...
vector_only,Complex,0.5,1.0,Can the input VAT paid by a mining company be dedu...
fixed_rrf,Complex,0.6309297535714575,1.0,Can the input VAT paid by a mining company be dedu...
adaptive_fixed,Complex,0.6309297535714575,1.0,Can the input VAT paid by a mining company be dedu...
qalf,Complex,0.6309297535714575,1.0,Can the input VAT paid by a mining company be dedu...
vector_only,Complex,1.0,1.0,What is the tax abatement percentage that professi...
fixed_rrf,Complex,1.0,1.0,What is the tax abatement percentage that professi...
adaptive_fixed,Complex,1.0,1.0,What is the tax abatement percentage that professi...
qalf,Complex,1.0,1.0,What is the tax abatement percentage that professi...
vector_only,Simple,1.0,1.0,Is the government of Jersey applying GST to crypto...
fixed_rrf,Simple,1.0,1.0,Is the government of Jersey applying GST to crypto...
adaptive_fixed,Simple,1.0,1.0,Is the government of Jersey applying GST to crypto...
qalf,Simple,1.0,1.0,Is the government of Jersey applying GST to crypto...
vector_only,Simple,0.0,0.0,When was the document released?...
fixed_rrf,Simple,0.0,0.0,When was the document released?...
adaptive_fixed,Simple,0.0,0.0,When was the document released?...
qalf,Simple,0.0,0.0,When was the document released?...
vector_only,Simple,0.3562071871080222,1.0,How many times does the report mention VAT (value-...
fixed_rrf,Simple,0.6309297535714575,1.0,How many times does the report mention VAT (value-...
adaptive_fixed,Simple,0.6309297535714575,1.0,How many times does the report mention VAT (value-...
qalf,Simple,0.6309297535714575,1.0,How many times does the report mention VAT (value-...
vector_only,Complex,0.6309297535714575,1.0,Is there a fine for network operators in China who...
fixed_rrf,Complex,0.6309297535714575,1.0,Is there a fine for network operators in China who...
adaptive_fixed,Complex,0.6309297535714575,1.0,Is there a fine for network operators in China who...
qalf,Complex,1.0,1.0,Is there a fine for network operators in China who...
vector_only,Complex,0.5,1.0,What is the official effective date of the Interne...
fixed_rrf,Complex,1.0,1.0,What is the official effective date of the Interne...
adaptive_fixed,Complex,1.0,1.0,What is the official effective date of the Interne...
qalf,Complex,1.0,1.0,What is the official effective date of the Interne...
vector_only,Simple,0.0,0.0,How many subsections does Section III have?...
fixed_rrf,Simple,0.0,0.0,How many subsections does Section III have?...
adaptive_fixed,Simple,0.0,0.0,How many subsections does Section III have?...
qalf,Simple,0.0,0.0,How many subsections does Section III have?...
vector_only,Simple,0.0,0.0,What is the main content of Section III.A?...
fixed_rrf,Simple,0.0,0.0,What is the main content of Section III.A?...
adaptive_fixed,Simple,0.0,0.0,What is the main content of Section III.A?...
qalf,Simple,0.0,0.0,What is the main content of Section III.A?...
vector_only,Complex,1.0,1.0,How has the legal landscape for blasphemy and defa...
fixed_rrf,Complex,1.0,1.0,How has the legal landscape for blasphemy and defa...
adaptive_fixed,Complex,1.0,1.0,How has the legal landscape for blasphemy and defa...
qalf,Complex,1.0,1.0,How has the legal landscape for blasphemy and defa...
vector_only,Complex,0.38685280723454163,1.0,What must a claimant serve if they intend to alleg...
fixed_rrf,Complex,0.3010299956639812,1.0,What must a claimant serve if they intend to alleg...
adaptive_fixed,Complex,0.3010299956639812,1.0,What must a claimant serve if they intend to alleg...
qalf,Complex,0.2890648263178879,1.0,What must a claimant serve if they intend to alleg...
vector_only,Simple,0.0,0.0,How many regions are listed on the cover?...
fixed_rrf,Simple,0.0,0.0,How many regions are listed on the cover?...
adaptive_fixed,Simple,0.0,0.0,How many regions are listed on the cover?...
qalf,Simple,0.0,0.0,How many regions are listed on the cover?...
vector_only,Simple,0.0,0.0,What is the title of the document?...
fixed_rrf,Simple,0.0,0.0,What is the title of the document?...
adaptive_fixed,Simple,0.0,0.0,What is the title of the document?...
qalf,Simple,0.0,0.0,What is the title of the document?...
vector_only,Complex,0.5,1.0,What may the Amendment Law regarding the Homesh se...
fixed_rrf,Complex,0.6309297535714575,1.0,What may the Amendment Law regarding the Homesh se...
adaptive_fixed,Complex,0.6309297535714575,1.0,What may the Amendment Law regarding the Homesh se...
qalf,Complex,0.6309297535714575,1.0,What may the Amendment Law regarding the Homesh se...
vector_only,Complex,0.5,1.0,What is the percentage of cases in which the Israe...
fixed_rrf,Complex,0.6309297535714575,1.0,What is the percentage of cases in which the Israe...
adaptive_fixed,Complex,0.6309297535714575,1.0,What is the percentage of cases in which the Israe...
qalf,Complex,1.0,1.0,What is the percentage of cases in which the Israe...
vector_only,Complex,1.0,1.0,What mechanism allows the Knesset to reenact a law...
fixed_rrf,Complex,1.0,1.0,What mechanism allows the Knesset to reenact a law...
adaptive_fixed,Complex,1.0,1.0,What mechanism allows the Knesset to reenact a law...
qalf,Complex,1.0,1.0,What mechanism allows the Knesset to reenact a law...
vector_only,Simple,0.0,0.0,How many pages does the document have in total?...
fixed_rrf,Simple,0.0,0.0,How many pages does the document have in total?...
adaptive_fixed,Simple,0.0,0.0,How many pages does the document have in total?...
qalf,Simple,0.0,0.0,How many pages does the document have in total?...
vector_only,Simple,0.0,0.0,How many words does the document have?...
fixed_rrf,Simple,0.0,0.0,How many words does the document have?...
adaptive_fixed,Simple,0.0,0.0,How many words does the document have?...
qalf,Simple,0.0,0.0,How many words does the document have?...
vector_only,Complex,1.0,1.0,Is it possible for foreign nationals to own land i...
fixed_rrf,Complex,1.0,1.0,Is it possible for foreign nationals to own land i...
adaptive_fixed,Complex,1.0,1.0,Is it possible for foreign nationals to own land i...
qalf,Complex,1.0,1.0,Is it possible for foreign nationals to own land i...
vector_only,Complex,1.0,1.0,What are the consequences for a foreign national w...
fixed_rrf,Complex,1.0,1.0,What are the consequences for a foreign national w...
adaptive_fixed,Complex,1.0,1.0,What are the consequences for a foreign national w...
qalf,Complex,0.0,0.0,What are the consequences for a foreign national w...
vector_only,Simple,0.0,0.0,What is the most common abbreviation of this docum...
fixed_rrf,Simple,0.0,0.0,What is the most common abbreviation of this docum...
adaptive_fixed,Simple,0.0,0.0,What is the most common abbreviation of this docum...
qalf,Simple,0.0,0.0,What is the most common abbreviation of this docum...
vector_only,Simple,0.0,0.0,How many regions are listed in the Contents?...
fixed_rrf,Simple,0.0,0.0,How many regions are listed in the Contents?...
adaptive_fixed,Simple,0.0,0.0,How many regions are listed in the Contents?...
qalf,Simple,0.0,0.0,How many regions are listed in the Contents?...
vector_only,Complex,0.0,0.0,Are Home Office staff required to consider the mat...
fixed_rrf,Complex,0.0,0.0,Are Home Office staff required to consider the mat...
adaptive_fixed,Complex,0.0,0.0,Are Home Office staff required to consider the mat...
qalf,Complex,0.0,0.0,Are Home Office staff required to consider the mat...
vector_only,Complex,1.0,1.0,Has Greece enacted legislation regarding the regis...
fixed_rrf,Complex,1.0,1.0,Has Greece enacted legislation regarding the regis...
adaptive_fixed,Complex,1.0,1.0,Has Greece enacted legislation regarding the regis...
qalf,Complex,1.0,1.0,Has Greece enacted legislation regarding the regis...
vector_only,Complex,1.0,1.0,Has the United Kingdom introduced a bill concernin...
fixed_rrf,Complex,1.0,1.0,Has the United Kingdom introduced a bill concernin...
adaptive_fixed,Complex,1.0,1.0,Has the United Kingdom introduced a bill concernin...
qalf,Complex,1.0,1.0,Has the United Kingdom introduced a bill concernin...
vector_only,Simple,1.0,1.0,"How many times does the document mention ""AI syste..."
fixed_rrf,Simple,0.6309297535714575,1.0,"How many times does the document mention ""AI syste..."
adaptive_fixed,Simple,0.6309297535714575,1.0,"How many times does the document mention ""AI syste..."
qalf,Simple,0.6309297535714575,1.0,"How many times does the document mention ""AI syste..."
vector_only,Simple,0.0,0.0,What is the main content of page 40?...
fixed_rrf,Simple,0.0,0.0,What is the main content of page 40?...
adaptive_fixed,Simple,0.0,0.0,What is the main content of page 40?...
qalf,Simple,0.0,0.0,What is the main content of page 40?...
vector_only,Simple,0.6309297535714575,1.0,Is the EU sanctions framework applicable worldwide...
fixed_rrf,Simple,0.43067655807339306,1.0,Is the EU sanctions framework applicable worldwide...
adaptive_fixed,Simple,0.43067655807339306,1.0,Is the EU sanctions framework applicable worldwide...
qalf,Simple,0.5,1.0,Is the EU sanctions framework applicable worldwide...
vector_only,Complex,0.5,1.0,What significant legislative amendment did Estonia...
fixed_rrf,Complex,1.0,1.0,What significant legislative amendment did Estonia...
adaptive_fixed,Complex,1.0,1.0,What significant legislative amendment did Estonia...
qalf,Complex,1.0,1.0,What significant legislative amendment did Estonia...
vector_only,Simple,0.0,0.0,What is the title of the document?...
fixed_rrf,Simple,0.0,0.0,What is the title of the document?...
adaptive_fixed,Simple,0.0,0.0,What is the title of the document?...
qalf,Simple,0.0,0.0,What is the title of the document?...
vector_only,Simple,0.0,0.0,What is the most common abbreviation in the docume...
fixed_rrf,Simple,0.0,0.0,What is the most common abbreviation in the docume...
adaptive_fixed,Simple,0.0,0.0,What is the most common abbreviation in the docume...
qalf,Simple,0.0,0.0,What is the most common abbreviation in the docume...
vector_only,Complex,0.43067655807339306,1.0,What is the highest accuracy percentage achieved b...
fixed_rrf,Complex,0.3333333333333333,1.0,What is the highest accuracy percentage achieved b...
adaptive_fixed,Complex,0.3333333333333333,1.0,What is the highest accuracy percentage achieved b...
qalf,Complex,0.38685280723454163,1.0,What is the highest accuracy percentage achieved b...
vector_only,Simple,1.0,1.0,What percent of formulated questions in the Common...
fixed_rrf,Simple,1.0,1.0,What percent of formulated questions in the Common...
adaptive_fixed,Simple,1.0,1.0,What percent of formulated questions in the Common...
qalf,Simple,1.0,1.0,What percent of formulated questions in the Common...
vector_only,Complex,1.0,1.0,"According to Figure 4, is it more common for quest..."
fixed_rrf,Complex,1.0,1.0,"According to Figure 4, is it more common for quest..."
adaptive_fixed,Complex,1.0,1.0,"According to Figure 4, is it more common for quest..."
qalf,Complex,1.0,1.0,"According to Figure 4, is it more common for quest..."
vector_only,Complex,1.0,1.0,Which model achieved the highest accuracy on the r...
fixed_rrf,Complex,1.0,1.0,Which model achieved the highest accuracy on the r...
adaptive_fixed,Complex,1.0,1.0,Which model achieved the highest accuracy on the r...
qalf,Complex,1.0,1.0,Which model achieved the highest accuracy on the r...
vector_only,Complex,1.0,1.0,What is the accuracy percentage of the BERT-LARGE ...
fixed_rrf,Complex,1.0,1.0,What is the accuracy percentage of the BERT-LARGE ...
adaptive_fixed,Complex,1.0,1.0,What is the accuracy percentage of the BERT-LARGE ...
qalf,Complex,1.0,1.0,What is the accuracy percentage of the BERT-LARGE ...
vector_only,Complex,1.0,1.0,Which CONCEPTNET relation has the highest frequenc...
fixed_rrf,Complex,0.6309297535714575,1.0,Which CONCEPTNET relation has the highest frequenc...
adaptive_fixed,Complex,0.6309297535714575,1.0,Which CONCEPTNET relation has the highest frequenc...
qalf,Complex,0.6309297535714575,1.0,Which CONCEPTNET relation has the highest frequenc...
vector_only,Complex,1.0,1.0,What is the average length of questions measured i...
fixed_rrf,Complex,1.0,1.0,What is the average length of questions measured i...
adaptive_fixed,Complex,1.0,1.0,What is the average length of questions measured i...
qalf,Complex,1.0,1.0,What is the average length of questions measured i...
vector_only,Complex,1.0,1.0,What percentage of questions analyzed begin with a...
fixed_rrf,Complex,1.0,1.0,What percentage of questions analyzed begin with a...
adaptive_fixed,Complex,1.0,1.0,What percentage of questions analyzed begin with a...
qalf,Complex,1.0,1.0,What percentage of questions analyzed begin with a...
vector_only,Complex,1.0,1.0,What is the human accuracy performance on question...
fixed_rrf,Complex,1.0,1.0,What is the human accuracy performance on question...
adaptive_fixed,Complex,1.0,1.0,What is the human accuracy performance on question...
qalf,Complex,1.0,1.0,What is the human accuracy performance on question...
vector_only,Simple,0.0,0.0,What is the last reference mentioned in the paper?...
fixed_rrf,Simple,0.0,0.0,What is the last reference mentioned in the paper?...
adaptive_fixed,Simple,0.0,0.0,What is the last reference mentioned in the paper?...
qalf,Simple,0.0,0.0,What is the last reference mentioned in the paper?...
vector_only,Complex,0.43067655807339306,1.0,Is the Belt and Road Initiative expected to have a...
fixed_rrf,Complex,0.6309297535714575,1.0,Is the Belt and Road Initiative expected to have a...
adaptive_fixed,Complex,0.6309297535714575,1.0,Is the Belt and Road Initiative expected to have a...
qalf,Complex,0.6309297535714575,1.0,Is the Belt and Road Initiative expected to have a...
vector_only,Simple,0.6309297535714575,1.0,"What model does China Exim Bank follow, which allo..."
fixed_rrf,Simple,1.0,1.0,"What model does China Exim Bank follow, which allo..."
adaptive_fixed,Simple,1.0,1.0,"What model does China Exim Bank follow, which allo..."
qalf,Simple,1.0,1.0,"What model does China Exim Bank follow, which allo..."
vector_only,Complex,1.0,1.0,What are the expected economic impacts of the Djib...
fixed_rrf,Complex,1.0,1.0,What are the expected economic impacts of the Djib...
adaptive_fixed,Complex,1.0,1.0,What are the expected economic impacts of the Djib...
qalf,Complex,1.0,1.0,What are the expected economic impacts of the Djib...
vector_only,Complex,1.0,1.0,How is the Belt and Road Initiative (BRI) addressi...
fixed_rrf,Complex,1.0,1.0,How is the Belt and Road Initiative (BRI) addressi...
adaptive_fixed,Complex,1.0,1.0,How is the Belt and Road Initiative (BRI) addressi...
qalf,Complex,1.0,1.0,How is the Belt and Road Initiative (BRI) addressi...
vector_only,Complex,0.3333333333333333,1.0,From which page does the document start to state t...
fixed_rrf,Complex,0.0,0.0,From which page does the document start to state t...
adaptive_fixed,Complex,0.0,0.0,From which page does the document start to state t...
qalf,Complex,0.0,0.0,From which page does the document start to state t...
vector_only,Simple,0.0,0.0,How many pages does the document have in total?...
fixed_rrf,Simple,0.0,0.0,How many pages does the document have in total?...
adaptive_fixed,Simple,0.0,0.0,How many pages does the document have in total?...
qalf,Simple,0.0,0.0,How many pages does the document have in total?...
vector_only,Simple,0.0,0.0,What is the section about Germany mainly talking a...
fixed_rrf,Simple,0.0,0.0,What is the section about Germany mainly talking a...
adaptive_fixed,Simple,0.0,0.0,What is the section about Germany mainly talking a...
qalf,Simple,0.0,0.0,What is the section about Germany mainly talking a...
vector_only,Complex,1.0,1.0,Does Bulgaria require a three-fourths majority for...
fixed_rrf,Complex,1.0,1.0,Does Bulgaria require a three-fourths majority for...
adaptive_fixed,Complex,1.0,1.0,Does Bulgaria require a three-fourths majority for...
qalf,Complex,1.0,1.0,Does Bulgaria require a three-fourths majority for...
vector_only,Complex,1.0,1.0,What type of majority is needed in Austria's Natio...
fixed_rrf,Complex,0.43067655807339306,1.0,What type of majority is needed in Austria's Natio...
adaptive_fixed,Complex,0.43067655807339306,1.0,What type of majority is needed in Austria's Natio...
qalf,Complex,0.43067655807339306,1.0,What type of majority is needed in Austria's Natio...
vector_only,Complex,0.6309297535714575,1.0,Does the Constitution of the Philippines require a...
fixed_rrf,Complex,0.43067655807339306,1.0,Does the Constitution of the Philippines require a...
adaptive_fixed,Complex,0.43067655807339306,1.0,Does the Constitution of the Philippines require a...
qalf,Complex,0.43067655807339306,1.0,Does the Constitution of the Philippines require a...
vector_only,Complex,1.0,1.0,Explain the distinction between the three broad ty...
fixed_rrf,Complex,1.0,1.0,Explain the distinction between the three broad ty...
adaptive_fixed,Complex,1.0,1.0,Explain the distinction between the three broad ty...
qalf,Complex,1.0,1.0,Explain the distinction between the three broad ty...
vector_only,Complex,0.6309297535714575,1.0,Does Costa Rica require a two-thirds majority of a...
fixed_rrf,Complex,0.31546487678572877,1.0,Does Costa Rica require a two-thirds majority of a...
adaptive_fixed,Complex,0.31546487678572877,1.0,Does Costa Rica require a two-thirds majority of a...
qalf,Complex,0.3333333333333333,1.0,Does Costa Rica require a two-thirds majority of a...
vector_only,Complex,0.0,0.0,On which page does the document list the informati...
fixed_rrf,Complex,0.0,0.0,On which page does the document list the informati...
adaptive_fixed,Complex,0.0,0.0,On which page does the document list the informati...
qalf,Complex,0.0,0.0,On which page does the document list the informati...
vector_only,Simple,0.0,0.0,What is the title of the document?...
fixed_rrf,Simple,0.0,0.0,What is the title of the document?...
adaptive_fixed,Simple,0.0,0.0,What is the title of the document?...
qalf,Simple,0.0,0.0,What is the title of the document?...
vector_only,Complex,0.5,1.0,Is normal operation of a commercial drone prohibit...
fixed_rrf,Complex,0.6309297535714575,1.0,Is normal operation of a commercial drone prohibit...
adaptive_fixed,Complex,0.6309297535714575,1.0,Is normal operation of a commercial drone prohibit...
qalf,Complex,0.6309297535714575,1.0,Is normal operation of a commercial drone prohibit...
vector_only,Complex,1.0,1.0,How many hours of flying experience with the type ...
fixed_rrf,Complex,1.0,1.0,How many hours of flying experience with the type ...
adaptive_fixed,Complex,1.0,1.0,How many hours of flying experience with the type ...
qalf,Complex,1.0,1.0,How many hours of flying experience with the type ...
vector_only,Simple,0.0,0.0,When was the report released?...
fixed_rrf,Simple,0.0,0.0,When was the report released?...
adaptive_fixed,Simple,0.0,0.0,When was the report released?...
qalf,Simple,0.0,0.0,When was the report released?...
vector_only,Complex,0.0,0.0,From which page does the report detail the situati...
fixed_rrf,Complex,0.0,0.0,From which page does the report detail the situati...
adaptive_fixed,Complex,0.0,0.0,From which page does the report detail the situati...
qalf,Complex,0.0,0.0,From which page does the report detail the situati...
vector_only,Simple,0.0,0.0,On which page does the report detail the Brazilian...
fixed_rrf,Simple,0.0,0.0,On which page does the report detail the Brazilian...
adaptive_fixed,Simple,0.0,0.0,On which page does the report detail the Brazilian...
qalf,Simple,0.0,0.0,On which page does the report detail the Brazilian...
vector_only,Complex,0.5,1.0,What is the estimated value of the UK's market for...
fixed_rrf,Complex,1.0,1.0,What is the estimated value of the UK's market for...
adaptive_fixed,Complex,1.0,1.0,What is the estimated value of the UK's market for...
qalf,Complex,1.0,1.0,What is the estimated value of the UK's market for...
vector_only,Complex,0.6309297535714575,1.0,Which institution in Turkey has the authority for ...
fixed_rrf,Complex,1.0,1.0,Which institution in Turkey has the authority for ...
adaptive_fixed,Complex,1.0,1.0,Which institution in Turkey has the authority for ...
qalf,Complex,1.0,1.0,Which institution in Turkey has the authority for ...
vector_only,Complex,0.5,1.0,What regulation requires manufacturers to ensure v...
fixed_rrf,Complex,1.0,1.0,What regulation requires manufacturers to ensure v...
adaptive_fixed,Complex,1.0,1.0,What regulation requires manufacturers to ensure v...
qalf,Complex,1.0,1.0,What regulation requires manufacturers to ensure v...
vector_only,Complex,0.0,0.0,How many countries or institutions are listed on t...
fixed_rrf,Complex,0.0,0.0,How many countries or institutions are listed on t...
adaptive_fixed,Complex,0.0,0.0,How many countries or institutions are listed on t...
qalf,Complex,0.0,0.0,How many countries or institutions are listed on t...
vector_only,Simple,0.0,0.0,From which page does the document present the info...
fixed_rrf,Simple,0.0,0.0,From which page does the document present the info...
adaptive_fixed,Simple,0.0,0.0,From which page does the document present the info...
qalf,Simple,0.0,0.0,From which page does the document present the info...
vector_only,Complex,1.0,1.0,Are cosmetic manufacturers required to list all in...
fixed_rrf,Complex,1.0,1.0,Are cosmetic manufacturers required to list all in...
adaptive_fixed,Complex,1.0,1.0,Are cosmetic manufacturers required to list all in...
qalf,Complex,1.0,1.0,Are cosmetic manufacturers required to list all in...
